Gender,Age,Education_Level,Relationship_Status,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR5,VAR6,VAR7,Attrition_rate
F,42,4,Married,IT,Conceptual,4.0,4,33,1,1,7,type2,3.0,4,4,5,3,0.1841
M,24,3,Single,Logistics,Analytical,5.0,4,36,0,3,6,type2,4.0,3,3,5,3,0.067
F,58,3,Married,Quality,Conceptual,27.0,3,51,0,2,8,type2,1.0,4,3,8,3,0.0851
F,26,3,Single,Human Resource Management,Behavioral,4.0,3,56,1,3,8,type2,1.0,3,3,7,3,0.0668
F,31,1,Married,Logistics,Conceptual,5.0,4,62,1,3,2,type3,3.0,1,2,8,2,0.1827
M,54,3,Married,Purchasing,Conceptual,19.0,1,21,2,5,9,type2,1.0,3,2,8,3,0.7613
F,21,4,Married,Purchasing,Directive,2.0,1,50,1,1,6,type2,2.0,3,3,7,3,0.2819
F,39,3,Married,Sales,Directive,34.0,4,23,1,4,6,type3,2.0,3,3,9,3,0.1169
M,40,4,Single,Production,Analytical,13.0,1,49,0,1,9,type0,4.0,1,5,6,3,0.1968
M,45,3,Married,IT,Directive,21.0,4,34,0,2,5,type3,4.0,3,4,8,3,0.287
F,65,5,Single,Purchasing,Behavioral,31.0,3,49,1,1,6,type3,3.0,3,4,6,3,0.2735
F,19,5,Single,Operarions,Analytical,0.0,0,25,1,2,5,type4,1.0,3,3,6,3,0.08
M,63,3,Married,Sales,Conceptual,27.0,1,29,0,2,7,type2,1.0,3,5,6,3,0.2109
F,23,4,Single,Logistics,Conceptual,4.0,2,70,1,3,8,type2,3.0,4,4,8,3,0.1696
F,19,3,Married,Human Resource Management,Directive,0.0,0,74,0,2,9,type2,3.0,3,4,6,3,0.0318
F,39,3,Married,Logistics,Analytical,0.0,0,32,1,2,6,type2,2.0,3,3,8,3,0.1331
M,65,4,Single,IT,Behavioral,35.0,1,58,0,3,4,type2,2.0,3,3,5,3,0.0671
F,40,4,Married,Accounting and Finance,Directive,12.0,1,45,1,3,9,type3,2.0,3,5,8,4,0.1468
M,33,3,Single,Accounting and Finance,Analytical,9.0,1,39,1,2,5,type3,1.0,3,3,8,3,0.056
M,32,3,Single,IT,Conceptual,7.0,4,44,0,4,5,type2,1.0,3,1,5,4,0.6409999999999999
F,22,4,Married,Quality,Behavioral,3.0,1,53,0,4,6,type2,3.0,3,2,7,4,0.1095
F,25,3,Married,IT,Directive,6.0,3,53,1,2,6,type3,1.0,3,3,8,4,0.0462
M,65,1,Married,IT,Analytical,33.0,2,30,0,3,7,type2,2.0,3,3,6,3,0.1708
F,31,4,Married,Accounting and Finance,Analytical,6.0,4,39,1,3,8,type3,1.0,3,3,5,3,0.2704
F,24,5,Single,Sales,Conceptual,5.0,1,52,0,3,8,type2,2.0,3,3,8,5,0.1742
F,39,2,Married,Marketing,Directive,15.0,1,58,1,3,3,type2,1.0,3,4,8,2,0.8727
F,47,4,Single,R&D,Analytical,21.0,1,34,1,3,8,type2,4.0,4,3,5,2,0.2269
M,28,3,Single,Sales,Conceptual,13.385064177362894,1,58,0,4,8,type2,1.0,3,3,8,3,0.6272
F,45,3,Married,R&D,Analytical,15.0,4,60,0,2,9,type4,2.0,3,1,7,5,0.0326
F,34,3,Married,Operarions,Analytical,6.0,1,29,0,4,7,type2,3.0,3,2,8,3,0.273
M,24,4,Single,IT,Analytical,5.0,4,55,0,1,8,type2,3.0,4,3,5,3,0.0021
M,54,3,Single,Accounting and Finance,Directive,28.0,1,71,2,3,5,type2,3.0,4,2,8,5,0.0647
F,54,1,Single,IT,Behavioral,30.0,3,22,0,1,5,type3,2.0,3,4,7,3,0.0447
F,55,3,Married,IT,Behavioral,33.0,4,66,0,5,7,type3,4.0,3,2,6,3,0.2307
F,19,5,Single,Operarions,Behavioral,0.0,0,39,2,3,4,type2,4.0,3,2,8,3,0.2637
F,46,3,Single,Sales,Analytical,10.0,2,31,0,2,9,type4,1.0,3,1,8,3,0.0759
F,28,3,Single,Operarions,Analytical,6.0,3,38,2,1,5,type3,2.0,3,3,9,3,0.2161
M,54,3,Single,Purchasing,Directive,26.0,2,27,2,4,8,type3,2.0,3,3,8,3,0.4617
F,33,3,Married,Logistics,Analytical,9.0,3,72,0,1,10,type2,2.0,2,2,7,3,0.6961
M,30,3,Single,IT,Directive,7.0,3,33,0,2,6,type2,1.0,1,4,7,3,0.2656
F,39,2,Married,IT,Conceptual,4.0,1,72,2,5,6,type3,2.0,3,5,6,2,0.0618
M,43,4,Married,Operarions,Behavioral,12.0,4,50,2,5,5,type2,4.0,3,4,8,3,0.1983
M,30,4,Married,IT,Conceptual,6.0,1,46,1,1,6,type3,4.0,2,4,8,4,0.2744
M,39,3,Married,Logistics,Conceptual,19.0,3,51,1,2,4,type2,2.0,5,3,8,3,0.1571
F,24,3,Married,Marketing,Conceptual,5.0,1,20,1,4,7,type4,2.0,4,4,6,3,0.0088
F,39,3,Single,Production,Directive,14.0,4,67,1,5,5,type4,1.0,3,3,6,3,0.0882
M,27,4,Married,Marketing,Analytical,3.0,3,68,0,4,6,type2,4.0,4,3,8,5,0.2711
F,34,4,Married,IT,Directive,10.0,2,67,0,3,9,type2,2.0,3,1,7,1,0.1519
F,57,1,Married,IT,Directive,35.0,3,37,1,3,2,type3,1.0,4,2,6,3,0.1593
M,31,4,Single,Sales,Behavioral,4.0,2,48,0,5,4,type2,1.0,1,3,8,3,0.23
F,54,3,Married,Logistics,Directive,27.0,4,27,0,1,5,type3,2.0,3,3,6,4,0.0672
M,51,3,Single,Quality,Directive,27.0,2,63,1,2,6,type2,3.0,3,4,8,3,0.046
F,41,4,Married,Purchasing,Conceptual,18.0,1,64,0,2,5,type2,4.0,3,2,8,4,0.1008
F,28,4,Single,IT,Directive,6.0,1,22,1,3,7,type3,1.0,3,3,7,3,0.0871
M,39,4,Married,IT,Directive,24.0,4,52,0,2,5,type3,3.0,3,3,9,4,0.0449
F,37,3,Married,Sales,Behavioral,10.0,2,66,1,4,5,type3,2.0,3,2,5,4,0.1544
M,60,3,Married,Sales,Analytical,27.0,3,38,1,3,4,type2,1.0,2,1,8,3,0.0068
M,24,4,Married,Quality,Behavioral,13.385064177362894,4,22,0,3,6,type2,2.0,4,3,8,5,0.2197
F,54,1,Married,IT,Conceptual,23.0,2,29,2,1,6,type3,1.0,3,4,6,4,0.1379
F,50,4,Single,IT,Directive,27.0,1,54,0,3,7,type0,4.0,3,3,7,5,0.2384
F,54,1,Married,Operarions,Conceptual,15.0,2,27,0,3,6,type2,2.0,3,4,8,3,0.1313
M,34,2,Married,Security,Conceptual,12.0,2,23,2,1,5,type4,1.0,3,5,5,3,0.042
F,56,1,Married,Logistics,Behavioral,20.0,3,47,1,5,5,type2,1.0,3,2,8,3,0.1675
F,37,4,Single,Logistics,Conceptual,12.0,4,59,1,2,4,type4,3.0,3,3,8,3,0.9262
M,58,4,Married,Logistics,Directive,22.0,3,59,0,3,4,type2,2.0,3,2,6,5,0.1291
M,28,5,Married,Sales,Behavioral,5.0,3,71,1,2,5,type3,1.0,4,3,8,3,0.1577
M,32,5,Married,Quality,Conceptual,6.0,4,57,1,4,5,type2,3.0,1,2,5,3,0.0645
F,44,5,Single,Accounting and Finance,Conceptual,8.0,1,52,0,3,3,type3,3.0,3,1,8,4,0.1883
F,49,3,Married,Sales,Behavioral,21.0,2,46,0,2,8,type3,1.0,2,4,7,3,0.255
M,51,5,Single,Logistics,Directive,13.0,4,63,1,2,5,type2,4.0,3,2,7,3,0.472
F,54,3,Married,IT,Directive,15.0,4,51,0,2,8,type2,3.0,4,5,7,3,0.1183
F,54,2,Single,Purchasing,Behavioral,19.0,1,72,1,2,5,type3,3.0,4,4,8,4,0.0026
F,60,3,Single,IT,Behavioral,21.0,2,29,0,4,5,type2,2.0,3,3,7,3,0.1475
F,36,3,Married,Logistics,Directive,9.0,4,61,1,5,4,type3,4.0,3,3,8,4,0.1746
F,26,1,Married,Marketing,Behavioral,4.0,2,43,1,1,8,type2,1.0,2,4,7,3,0.1136
F,29,2,Married,IT,Conceptual,5.0,4,32,0,3,6,type2,3.0,3,4,8,4,0.0386
M,42,3,Married,Security,Directive,12.0,2,69,1,3,3,type2,5.0,3,3,6,3,0.4098
F,30,3,Single,R&D,Behavioral,8.0,3,58,1,3,6,type2,1.0,3,2,8,3,0.0059
M,42,4,Single,Operarions,Directive,10.0,3,40,0,5,7,type3,1.0,3,3,7,5,0.08900000000000001
F,65,1,Married,Human Resource Management,Analytical,32.0,1,72,0,3,5,type3,3.0,4,4,6,5,0.2695
F,50,5,Single,IT,Behavioral,18.0,2,59,2,3,7,type2,2.0,3,3,8,4,0.1526
M,24,2,Married,Sales,Conceptual,5.0,2,38,1,2,8,type2,3.0,3,3,8,3,0.4841
M,45,4,Married,Sales,Conceptual,11.0,2,39,1,4,9,type2,3.0,3,2,8,4,0.0578
F,46,5,Married,Human Resource Management,Directive,7.0,3,50,0,3,3,type2,1.0,3,3,8,3,0.0634
